"symbol","date","open","high","low","close","volume","adjusted"
"MMM",1999-01-04,36.1875,37.6875,36.09375,37.3125,3661000,18.8085861206055
"MMM",1999-01-05,37.375,38.375,37.25,37.53125,2468600,18.9188480377197
"MMM",1999-01-06,37.9375,39.28125,37.90625,39.28125,3169400,19.8009948730469
"MMM",1999-01-07,38.5,38.53125,37.6875,38.375,2173000,19.3441638946533
"MMM",1999-01-08,38.25,39,37.46875,38.5625,2567000,19.4386787414551
"MMM",1999-01-11,38.8125,39.53125,38.0625,39.28125,2351600,19.8009948730469
"MMM",1999-01-12,38.75,39.46875,38.5625,38.875,2082200,19.596212387085
"MMM",1999-01-13,38,38.0625,37.28125,37.625,2237800,18.966100692749
"MMM",1999-01-14,37.5,37.5,36.03125,36.0625,3022400,18.1784858703613
"MMM",1999-01-15,36.34375,37.28125,36.21875,37.28125,2421200,18.7928237915039
"MMM",1999-01-19,37.34375,37.375,35.78125,36.375,2792400,18.3360061645508
"MMM",1999-01-20,36.34375,36.59375,34.75,34.9375,3944800,17.6113891601562
"MMM",1999-01-21,35.15625,36.65625,34.96875,36.2890625,3153400,18.2926826477051
"MMM",1999-01-22,35.96875,36.0625,35.28125,35.65625,2218600,17.9737033843994
"MMM",1999-01-25,37,38.71875,37,37.5625,5789000,18.9346122741699
"MMM",1999-01-26,37.5625,38.59375,37.375,37.9375,2897600,19.1236362457275
"MMM",1999-01-27,38.0625,38.3125,36.9375,37.09375,2735000,18.6983184814453
"MMM",1999-01-28,37.25,38.1875,37.25,37.8125,2136800,19.0606307983398
"MMM",1999-01-29,38,38.9375,37.53125,38.8125,3128200,19.5647125244141
"MMM",1999-02-01,39,39.875,38.5,38.5,3423800,19.407190322876
"MMM",1999-02-02,37.6875,37.9375,37.09375,37.9375,2636200,19.1236362457275
"MMM",1999-02-03,37.9375,37.9375,36.75,37.3125,2572600,18.8085861206055
"MMM",1999-02-04,37.375,38.96875,36.96875,38.25,3008800,19.2811603546143
"MMM",1999-02-05,38.375,39.75,38.15625,39.09375,2721400,19.7064800262451
"MMM",1999-02-08,39.09375,39.875,37.875,38.25,2723800,19.2811603546143
"MMM",1999-02-09,38.125,38.5625,37.53125,37.625,1660800,18.966100692749
"MMM",1999-02-10,37.84375,38.3125,37.5,37.6875,1552600,18.9976081848145
"MMM",1999-02-11,37.9375,38.75,37.625,38.4375,1651000,19.3756847381592
"MMM",1999-02-12,38.46875,39.3125,38,38.6875,2112600,19.50168800354
"MMM",1999-02-16,38.8125,38.9375,37.875,38.21875,2657600,19.2654037475586
"MMM",1999-02-17,38.4375,38.625,37.84375,38.03125,1758400,19.3123912811279
"MMM",1999-02-18,37.75,38.4375,37.4375,38.15625,1582000,19.3758525848389
"MMM",1999-02-19,38.09375,38.46875,37.71875,38.375,1922400,19.4869327545166
"MMM",1999-02-22,38.40625,39.375,38.21875,39.25,2675000,19.9312705993652
"MMM",1999-02-23,38.875,39,37.90625,38.90625,2283400,19.7567176818848
"MMM",1999-02-24,38.875,39,37.78125,38.09375,1942400,19.3441162109375
"MMM",1999-02-25,37.90625,38.0625,36.8125,37.625,2580400,19.1060829162598
"MMM",1999-02-26,37.71875,38.03125,36.75,37.03125,2112800,18.8045787811279
"MMM",1999-03-01,36.96875,37.0625,36.21875,36.78125,1825400,18.6776275634766
"MMM",1999-03-02,36.90625,37.59375,36.90625,37.1875,1667000,18.8839149475098
"MMM",1999-03-03,37.375,37.5,36.75,37.40625,2417600,18.9949989318848
"MMM",1999-03-04,37.40625,38.375,37.28125,37.59375,3049200,19.0902099609375
"MMM",1999-03-05,37.96875,38.65625,37.59375,38.5625,3117200,19.5821495056152
"MMM",1999-03-08,38.4375,38.75,38.15625,38.4375,1953400,19.5186710357666
"MMM",1999-03-09,38,39.46875,38,38.90625,3018200,19.7567176818848
"MMM",1999-03-10,38.96875,40.6875,38.875,40.25,4626600,20.439058303833
"MMM",1999-03-11,40,40.375,39.5625,40.0625,2659600,20.3438510894775
"MMM",1999-03-12,40.03125,40.5625,40,40.1875,3039000,20.4073314666748
"MMM",1999-03-15,40.3125,40.46875,39.53125,39.84375,2360800,20.2327747344971
"MMM",1999-03-16,40.21875,40.21875,39.09375,39.28125,1827400,19.9471378326416
"MMM",1999-03-17,39.28125,39.34375,37.78125,38.1875,5568000,19.3917217254639
"MMM",1999-03-18,37.9375,37.9375,36.5625,36.8125,5286200,18.6934947967529
"MMM",1999-03-19,37.0625,37.0625,35.625,35.75,4685200,18.1539516448975
"MMM",1999-03-22,36.03125,36.34375,35.75,36.21875,2436000,18.3919849395752
"MMM",1999-03-23,36.28125,36.46875,35.53125,35.8125,2408400,18.1856937408447
"MMM",1999-03-24,35.8125,36.1875,35.34375,35.6875,1765400,18.1222095489502
"MMM",1999-03-25,35.9375,36.0625,35.125,35.4375,3027600,17.9952640533447
"MMM",1999-03-26,35.125,35.5625,34.9375,35.15625,2403600,17.8524475097656
"MMM",1999-03-29,34.6875,35.84375,34.65625,35.65625,2060200,18.1063499450684
"MMM",1999-03-30,35.5,35.5625,35,35.125,2018000,17.8365707397461
"MMM",1999-03-31,35.375,35.6875,35.03125,35.375,2101000,17.9635257720947
